id,user_id,account_id,category_id,amount,type,description,date,is_recurring,recurrence_rule,is_reviewed,to_account_id,created_at,updated_at,contact_id
,,1446f45d-e885-4d1c-b577-5d2517a48106,Mua quà,440250.0,expense,Quà tốt nghiệp cho Long,2025-06-02,NULL,NULL,NULL,Bạn bè,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Điện thoại,50000.0,expense,Nạp tiền điện thoại,2025-06-04,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Hoạt động thể thao,34000.0,expense,Thua kèo 2 chai Pocari,2025-06-05,NULL,NULL,NULL,Đồng nghiệp,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Uống nước,3000.0,expense,Ly đá 3k,2025-06-05,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Dịch vụ khác,500000.0,expense,Ly đá 3k,2025-06-05,NULL,NULL,NULL,Ín,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Xăng xe,50000.0,expense,Đổ xăng lần 1,2025-06-05,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Mua đồ ăn,30000.0,expense,Ăn hủ tiếu gõ,2025-06-05,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Gửi xe,5000.0,expense,Gửi xe sân cầu lông,2025-06-05,NULL,NULL,NULL,Dịch vụ,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Mua đồ ăn,31211.0,expense,Ăn jolibee với công ty,2025-06-06,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Xăng xe,60000.0,expense,Đổ xăng lần 2,2025-06-06,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Hoạt động thể thao,50000.0,expense,Đánh cầu vãng lai,2025-06-06,NULL,NULL,NULL,Đồng nghiệp,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Ăn sang,453000.0,expense,"Bao nhóm Hạnh, Nhi, VA ăn tốt nghiệp",2025-06-07,NULL,NULL,NULL,Bạn bè,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Phí qua BOT,500000.0,expense,Nạp tiền VETC cho ba,2025-06-07,NULL,NULL,NULL,Ba,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Hớt tóc,140000.0,expense,Cắt tóc 2 đứa,2025-06-07,NULL,NULL,NULL,Em zai,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Mua sắm đồ cá nhân,460946.0,expense,Mua đồ shopee,2025-06-07,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Xem phim,289090.0,expense,Mua vé xem Doraemon với ín,2025-06-08,NULL,NULL,NULL,Ín,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Xem phim,74000.0,expense,Mua bắp rang,2025-06-08,NULL,NULL,NULL,Ín,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Mua quà,199000.0,expense,Mua nước hoa cho ín,2025-06-08,NULL,NULL,NULL,Ín,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Ăn sang,553000.0,expense,Ăn lấu bò Triều Châu,2025-06-08,NULL,NULL,NULL,Ín,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Hoạt động thể thao,50000.0,expense,Đánh cầu vãng lai,2025-06-09,NULL,NULL,NULL,Đồng nghiệp,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Mua đồ ăn,30000.0,expense,Ăn mì trộn 711,2025-06-09,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Mua sắm đồ cá nhân,598000.0,expense,Mua Serum dưỡng da,2025-06-09,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,b441e1dc-f1fa-4fb8-a122-2b4d98468cdf,Xăng xe,60000.0,expense,Đổ xăng lần 3,2025-06-10,NULL,NULL,NULL,Cá nhân,NULL,NULL,NULL
,,1446f45d-e885-4d1c-b577-5d2517a48106,Khóa học online,220000.0,expense,Mua Mobbin chung với anh Bâu,2025-06-10,NULL,NULL,NULL,Đồng nghiệp,NULL,NULL,NULL
